"student_id","student_country","date_registered","mins_watched_after_7_days","mins_watched_after_14_days","num_quizzes_engaged","num_exams_engaged","days_engaged","questions_hub_engaged","quizzes_engaged","exams_engaged","lessons_engaged","paid_student"
258798,IN,"2022-01-01",0.3,0.3,0,0,1,0,0,0,1,
258799,CO,"2022-01-01",,,,,,,,,,
258800,CA,"2022-01-01",192.2,268.4,10,5,29,0,1,1,1,1
258801,IN,"2022-01-01",,,,,,,,,,
258802,US,"2022-01-01",,,,,,,,,,
258803,US,"2022-01-01",310.1,395.6,7,4,19,1,1,1,1,1
258804,BD,"2022-01-01",14.2,14.2,1,0,1,0,1,0,1,
258805,BD,"2022-01-01",,,,,,,,,,
258806,NG,"2022-01-01",,,,,,,,,,
258807,US,"2022-01-01",1.8,1.8,0,0,1,0,0,0,1,
258808,SA,"2022-01-01",,,,,,,,,,
258809,ID,"2022-01-01",53.3,53.3,2,0,3,0,1,0,1,
258810,IN,"2022-01-01",3.2,3.2,0,0,1,0,0,0,1,
258811,DZ,"2022-01-01",38.4,41.9,4,0,4,0,1,0,1,
258812,IN,"2022-01-01",2.2,2.2,0,0,1,0,0,0,1,
258813,ET,"2022-01-01",2.1,2.1,0,0,1,0,0,0,1,
258814,IN,"2022-01-01",4.9,4.9,0,0,2,0,0,0,1,
258815,EG,"2022-01-01",29.0,29.0,0,1,1,0,0,1,1,
258816,KE,"2022-01-01",0.8,0.8,0,0,1,0,0,0,1,
258817,IN,"2022-01-01",0.4,0.4,0,0,1,0,0,0,1,
258818,IN,"2022-01-01",146.5,261.2,23,6,77,1,1,1,1,1
258819,ES,"2022-01-01",6.6,6.6,1,0,1,0,1,0,1,
258820,IN,"2022-01-01",,,,,,,,,,
258822,IN,"2022-01-01",0.1,210.89999999999998,8,7,15,1,1,1,1,1
258823,BD,"2022-01-01",,,,,,,,,,
258824,US,"2022-01-01",1.3,1.3,0,0,1,0,0,0,1,
258825,IN,"2022-01-01",,,,,,,,,,
258826,CN,"2022-01-01",0.3,0.3,0,0,1,0,0,0,1,
258827,IN,"2022-01-01",0.3,0.3,0,0,1,0,0,0,1,
258828,IN,"2022-01-01",0.4,0.4,0,0,1,0,0,0,1,
258829,BR,"2022-01-01",12.5,12.5,0,0,1,0,0,0,1,
258830,BY,"2022-01-01",0.9,0.9,0,0,1,0,0,0,1,
258831,SG,"2022-01-01",0.1,0.1,0,0,1,0,0,0,1,
258832,IN,"2022-01-01",28.5,70.8,3,5,12,0,1,1,1,1
258833,IN,"2022-01-01",1.3,1.3,0,0,1,0,0,0,1,
258834,GB,"2022-01-01",21.9,21.9,1,0,1,0,1,0,1,
258835,CM,"2022-01-01",,,,,,,,,,
258836,PK,"2022-01-01",,,,,,,,,,
258837,ID,"2022-01-01",34.7,34.7,3,0,3,0,1,0,1,
258838,PK,"2022-01-01",,,,,,,,,,
258839,EG,"2022-01-01",,,,,,,,,,
258840,SA,"2022-01-01",42.1,42.1,1,0,2,0,1,0,1,
258841,JP,"2022-01-01",0.6000000000000001,0.6000000000000001,0,0,2,0,0,0,1,
258842,PK,"2022-01-01",,,,,,,,,,
258843,US,"2022-01-01",,,,,,,,,,
258844,EG,"2022-01-01",,,,,,,,,,
258845,ID,"2022-01-01",49.6,140.8,15,2,23,0,1,1,1,
258846,US,"2022-01-01",6.9,6.9,0,0,1,0,0,0,1,
258847,IN,"2022-01-01",,,,,,,,,,
258848,RU,"2022-01-01",0.1,0.1,0,0,1,0,0,0,1,
258849,IN,"2022-01-01",12.0,12.0,1,0,1,0,1,0,1,
258850,CA,"2022-01-01",,,,,,,,,,
258851,HT,"2022-01-01",6.6,6.6,1,0,1,0,1,0,1,
258852,SA,"2022-01-01",0.1,0.1,0,0,1,0,0,0,1,
258853,US,"2022-01-01",,,,,,,,,,
258854,NG,"2022-01-01",,,,,,,,,,
258855,GB,"2022-01-01",0.2,0.2,0,0,1,0,0,0,1,
258857,AZ,"2022-01-01",0.8,0.8,1,0,1,0,1,0,1,
258858,MA,"2022-01-01",,,,,,,,,,
258859,SA,"2022-01-01",,,,,,,,,,
258860,PL,"2022-01-01",12.2,12.2,1,0,1,0,1,0,1,
258861,IN,"2022-01-01",21.6,21.6,1,0,2,0,1,0,1,
258862,NL,"2022-01-01",159.5,223.39999999999998,15,8,21,0,1,1,1,1
258864,DE,"2022-01-01",,,,,,,,,,
258865,CA,"2022-01-01",184.99999999999997,255.49999999999994,6,4,14,0,1,1,1,1
258866,IN,"2022-01-01",,,,,,,,,,
258867,TN,"2022-01-01",,,,,,,,,,
258868,DZ,"2022-01-01",,,,,,,,,,
258869,VN,"2022-01-01",1.2,1.2,0,0,1,0,0,0,1,
258870,GB,"2022-01-01",4.2,4.2,0,0,3,0,0,0,1,
258871,CA,"2022-01-01",2.2,2.2,0,0,1,0,0,0,1,
258872,CO,"2022-01-01",63.8,63.8,1,1,1,0,1,1,1,
258873,EG,"2022-01-01",,,,,,,,,,
258874,PT,"2022-01-01",,,,,,,,,,
258875,SA,"2022-01-01",,,,,,,,,,
258876,FR,"2022-01-01",55.199999999999996,73.60000000000001,4,0,5,0,1,0,1,
258877,EG,"2022-01-01",,,,,,,,,,
258878,CA,"2022-01-01",133.7,133.7,2,1,2,0,1,1,1,1
258879,LY,"2022-01-01",,,0,0,1,0,0,0,1,
258880,RU,"2022-01-01",73.2,73.2,3,0,3,0,1,0,1,
258881,EG,"2022-01-01",1.9,1.9,1,0,1,0,1,0,1,
258882,US,"2022-01-01",0.5,0.5,0,0,1,0,0,0,1,
258883,US,"2022-01-01",25.6,25.6,2,1,3,0,1,1,1,1
258884,EG,"2022-01-01",0.3,0.3,0,0,1,0,0,0,1,
258885,MD,"2022-01-01",61.7,61.7,2,1,2,0,1,1,1,
258886,SA,"2022-01-01",,,,,,,,,,
258887,SA,"2022-01-01",0.1,0.1,0,0,1,0,0,0,1,
258888,GB,"2022-01-01",0.7,0.7,0,0,1,0,0,0,1,
258889,SA,"2022-01-01",,,,,,,,,,
258890,RU,"2022-01-01",1.2,1.2,0,0,1,0,0,0,1,
258891,EG,"2022-01-01",,,,,,,,,,
258892,MX,"2022-01-01",2.0,2.0,0,0,3,0,0,0,1,
258893,AE,"2022-01-01",25.3,25.3,1,0,1,0,1,0,1,
258894,US,"2022-01-01",62.0,62.0,1,0,1,0,1,0,1,
258895,EG,"2022-01-01",11.2,11.2,1,0,1,0,1,0,1,
258896,BR,"2022-01-01",,,,,,,,,,
258897,AR,"2022-01-01",,,0,0,1,0,0,0,1,
258898,IN,"2022-01-01",,,,,,,,,,
258899,SA,"2022-01-01",,,,,,,,,,
258900,IN,"2022-01-01",,,,,,,,,,
258901,SA,"2022-01-01",,,,,,,,,,
258902,NG,"2022-01-01",18.9,18.9,1,0,2,0,1,0,1,
258903,US,"2022-01-01",9.3,9.3,1,0,1,0,1,0,1,
258904,SA,"2022-01-01",153.5,219.0,3,0,6,0,1,0,1,
258905,NG,"2022-01-01",3.6,3.6,0,0,1,0,0,0,1,
258906,EG,"2022-01-01",94.89999999999999,112.5,4,2,9,0,1,1,1,
258907,EG,"2022-01-01",,,1,0,1,0,1,0,1,
258908,US,"2022-01-01",359.3,413.9,3,2,10,0,1,1,1,1
258909,US,"2022-01-01",,,,,,,,,,
258910,EG,"2022-01-02",6.6,6.6,1,0,1,0,1,0,1,
258911,SA,"2022-01-02",,,,,,,,,,
258912,IN,"2022-01-02",15.5,15.5,1,0,3,0,1,0,1,
258913,US,"2022-01-02",358.9,358.9,10,9,41,0,1,1,1,1
258914,LK,"2022-01-02",2.8,2.8,0,0,1,0,0,0,1,
258915,SA,"2022-01-02",6.6,6.6,2,0,3,0,1,0,1,
258916,CA,"2022-01-02",,,8,3,9,0,1,1,1,1
258917,US,"2022-01-02",6.6,6.6,1,0,1,0,1,0,1,
258919,DE,"2022-01-02",,,,,,,,,,
258920,PH,"2022-01-02",65.3,65.3,1,0,1,0,1,0,1,
258921,SA,"2022-01-02",,,,,,,,,,
258922,US,"2022-01-02",155.6,159.1,6,2,15,0,1,1,1,1
258924,EG,"2022-01-02",35.6,35.6,1,0,9,0,1,0,1,
258925,ID,"2022-01-02",6.7,6.7,0,0,1,0,0,0,1,
258926,SA,"2022-01-02",,,,,,,,,,
258927,IN,"2022-01-02",5.1,5.1,0,0,2,0,0,0,1,
258928,SA,"2022-01-02",,,,,,,,,,
258929,US,"2022-01-02",,,2,1,2,0,1,1,1,
258930,SA,"2022-01-02",,,10,3,13,0,1,1,1,1
258931,SA,"2022-01-02",,,,,,,,,,
258932,SA,"2022-01-02",,,,,,,,,,
258933,US,"2022-01-02",1.5,1.5,0,0,2,0,0,0,1,
258934,US,"2022-01-02",,,,,,,,,,
258935,US,"2022-01-02",,,,,,,,,,
258936,IN,"2022-01-02",21.1,25.5,0,0,2,0,0,0,1,
258937,SD,"2022-01-02",,,,,,,,,,
258938,IN,"2022-01-02",,,,,,,,,,
258939,US,"2022-01-02",10.8,10.8,0,0,1,0,0,0,1,
258940,DE,"2022-01-02",3.5,3.5,0,0,2,0,0,0,1,
258941,SA,"2022-01-02",,,,,,,,,,
258942,NG,"2022-01-02",,,,,,,,,,
258943,IN,"2022-01-02",,,,,,,,,,
258944,VN,"2022-01-02",,,,,,,,,,
258945,IN,"2022-01-02",,,,,,,,,,
258946,US,"2022-01-02",,,,,,,,,,
258947,IN,"2022-01-02",0.1,0.1,0,0,1,0,0,0,1,
258948,IN,"2022-01-02",,,,,,,,,,
258949,IN,"2022-01-02",,,,,,,,,,
258950,IN,"2022-01-02",,,,,,,,,,
258951,EG,"2022-01-02",13.2,13.2,1,1,7,0,1,1,1,
258952,PL,"2022-01-02",,,,,,,,,,
258953,ID,"2022-01-02",,,,,,,,,,
258954,IQ,"2022-01-02",3.4,3.4,0,0,1,0,0,0,1,
258955,AE,"2022-01-02",226.9,343.5,4,7,13,0,1,1,1,1
258956,IN,"2022-01-02",,,9,7,17,0,1,1,1,1
258957,ZA,"2022-01-02",3.6,3.6,0,0,1,0,0,0,1,
258958,TJ,"2022-01-02",,,,,,,,,,
258959,IN,"2022-01-02",0.1,0.1,0,0,1,0,0,0,1,
258960,CN,"2022-01-02",3.4,3.4,0,0,1,0,0,0,1,
258961,IN,"2022-01-02",,,,,,,,,,
258962,EG,"2022-01-02",0.1,0.1,0,0,1,0,0,0,1,
258963,SA,"2022-01-02",,,,,,,,,,
258964,TR,"2022-01-02",,,,,,,,,,
258965,IN,"2022-01-02",1.5,1.5,0,0,1,0,0,0,1,
258966,GB,"2022-01-02",,,,,,,,,,
258967,NL,"2022-01-02",2.8,2.8,0,0,1,0,0,0,1,
258968,AE,"2022-01-02",,,,,,,,,,
258969,US,"2022-01-02",5.2,5.2,0,0,1,0,0,0,1,
258970,GM,"2022-01-02",33.9,33.9,1,0,1,0,1,0,1,
258971,IL,"2022-01-02",77.8,232.9,11,3,20,0,1,1,1,1
258973,US,"2022-01-02",20.3,20.3,0,0,1,0,0,0,1,
258974,SA,"2022-01-02",20.9,20.9,1,0,1,0,1,0,1,
258975,US,"2022-01-02",,,,,,,,,,
258976,IN,"2022-01-02",,,,,,,,,,
258977,IN,"2022-01-02",,,,,,,,,,
258978,IN,"2022-01-02",,,,,,,,,,
258979,SA,"2022-01-02",1.5,1.5,0,0,2,0,0,0,1,
258980,MX,"2022-01-02",51.2,223.8,2,7,11,0,1,1,1,1
258981,TR,"2022-01-02",,,,,,,,,,
258982,TH,"2022-01-02",0.1,0.1,0,0,1,0,0,0,1,
258983,AE,"2022-01-02",,,,,,,,,,
258984,DE,"2022-01-02",167.1,247.9,11,5,19,0,1,1,1,1
258985,MX,"2022-01-02",,,,,,,,,,
258986,RU,"2022-01-02",,,,,,,,,,
258987,ES,"2022-01-02",0.3,0.3,0,0,1,0,0,0,1,
258988,PK,"2022-01-02",,,,,,,,,,
258989,IN,"2022-01-02",0.3,0.3,0,0,1,0,0,0,1,
258990,DE,"2022-01-02",,,,,,,,,,
258991,MA,"2022-01-02",5.6,5.6,0,0,1,0,0,0,1,
258992,US,"2022-01-02",,,,,,,,,,
258993,SA,"2022-01-02",0.3,0.3,0,0,1,0,0,0,1,
258994,GB,"2022-01-02",81.1,95.1,3,0,3,0,1,0,1,
258995,PK,"2022-01-02",,,,,,,,,,
258996,SA,"2022-01-02",23.7,39.2,3,0,3,0,1,0,1,
258997,NG,"2022-01-02",8.4,8.4,1,0,1,0,1,0,1,
258998,SA,"2022-01-02",0.3,0.3,0,0,1,0,0,0,1,
258999,IN,"2022-01-02",0.5,0.5,0,0,1,0,0,0,1,
259000,SA,"2022-01-02",55.900000000000006,57.300000000000004,1,0,3,0,1,0,1,
259001,AE,"2022-01-02",7.9,7.9,0,0,2,0,0,0,1,
259002,SA,"2022-01-02",52.300000000000004,52.300000000000004,3,0,3,0,1,0,1,
259003,MA,"2022-01-02",,,,,,,,,,
259004,TZ,"2022-01-02",,,,,,,,,,
259005,TR,"2022-01-02",0.5,0.5,0,0,4,0,0,0,1,
259006,CA,"2022-01-02",,,,,,,,,,
259007,IN,"2022-01-02",,,,,,,,,,
259008,US,"2022-01-02",1.1,1.1,0,0,1,0,0,0,1,
259009,SA,"2022-01-02",,,,,,,,,,
259010,SA,"2022-01-02",,,,,,,,,,
259011,GB,"2022-01-02",104.8,385.9,14,14,51,0,1,1,1,
259012,SA,"2022-01-02",61.8,61.8,0,2,3,0,0,1,1,
259013,SA,"2022-01-02",,,,,,,,,,
259014,FR,"2022-01-02",2.4,2.4,0,0,1,0,0,0,1,
259015,SA,"2022-01-02",128.5,141.6,5,0,6,0,1,0,1,
259016,DE,"2022-01-02",,,,,,,,,,
259017,EG,"2022-01-02",1.1,1.1,0,0,1,0,0,0,1,
259018,IN,"2022-01-02",0.7,0.7,0,0,1,0,0,0,1,
259019,PK,"2022-01-02",,,5,1,13,0,1,1,1,
259020,UA,"2022-01-02",5.8,5.8,1,0,1,0,1,0,1,
259021,IN,"2022-01-02",,,,,,,,,,
259022,SA,"2022-01-02",1.2,1.2,0,0,1,0,0,0,1,
259023,QA,"2022-01-02",,,,,,,,,,
259024,EG,"2022-01-02",27.0,27.0,2,0,2,0,1,0,1,
259025,GB,"2022-01-02",2.3,2.3,1,0,1,0,1,0,1,
259026,GB,"2022-01-02",93.9,114.69999999999999,13,7,29,0,1,1,1,1
259027,US,"2022-01-02",,,,,,,,,,
259028,SA,"2022-01-02",119.69999999999999,119.69999999999999,3,0,7,0,1,0,1,1
259029,MA,"2022-01-02",10.4,10.4,1,0,1,0,1,0,1,
259030,EG,"2022-01-02",,,,,,,,,,
259031,IT,"2022-01-02",,,,,,,,,,
259032,MY,"2022-01-02",,,0,0,1,0,0,0,1,
259033,EG,"2022-01-02",3.3,3.3,0,0,1,0,0,0,1,
259034,NG,"2022-01-02",0.2,34.3,2,0,4,0,1,0,1,
259035,IQ,"2022-01-02",1.1,1.1,0,0,1,0,0,0,1,
259036,EG,"2022-01-02",,,0,0,1,0,0,0,1,
259037,CA,"2022-01-02",,,,,,,,,,
259038,GH,"2022-01-02",,,,,,,,,,
259039,US,"2022-01-02",231.7,328.20000000000005,5,3,14,0,1,1,1,1
259040,EG,"2022-01-02",0.1,0.1,0,0,1,0,0,0,1,
259041,CA,"2022-01-02",0.2,0.2,0,0,1,0,0,0,1,
259042,EG,"2022-01-02",,,4,1,5,0,1,1,1,
259043,CO,"2022-01-02",11.0,11.0,1,1,2,0,1,1,1,
259044,MA,"2022-01-02",,,,,,,,,,
259045,AT,"2022-01-02",,,0,0,1,0,0,0,1,
259046,PK,"2022-01-02",,,0,1,1,0,0,1,1,
259047,CA,"2022-01-02",27.2,27.2,1,0,2,0,1,0,1,
259048,FI,"2022-01-02",0.6,0.6,0,0,1,0,0,0,1,
259049,CM,"2022-01-02",,,,,,,,,,
259050,RU,"2022-01-02",,,,,,,,,,
259051,US,"2022-01-02",0.4,0.4,0,0,1,0,0,0,1,
